id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided context, with both the initial response time and resolution time correctly quoted.",5,The answer directly and completely addresses the question by providing the specific SLA times for P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including both the initial response time and the resolution time.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points in the expected answer without missing any details.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access, which states that approval is needed from the Line Manager, IT Admin, and IT Security, all of which are supported by the provided context.",5,The answer directly and completely addresses the question by specifying who must approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, bao gồm các mặt hàng như license key và subscription, theo điều khoản ngoại lệ trong chính sách hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer is completely grounded in the context, accurately reflecting the information about digital products not being eligible for refunds as stated in the provided context.",5,The answer directly and completely addresses the question by stating that digital products are not refundable and provides examples.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, clearly stating that digital products are non-refundable and providing examples.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the context provided, accurately reflecting the information about account lockout after 5 failed login attempts and the methods to unlock it.",5,The answer directly and completely addresses the question by stating the specific number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the number of failed login attempts and additional information on unlocking the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [3].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the context regarding the escalation process for P1 tickets, which states that escalation occurs automatically to a Senior Engineer if there is no response within 10 minutes of ticket creation.",5,"The answer directly and completely explains how escalation occurs in a P1 incident, including the specific time frame for escalation.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the automatic escalation to a Senior Engineer and the 10-minute time frame for response.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu để cấp quyền hệ thống là ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately identifies the document related to system access permissions as 'Approval Matrix for System Access', which is fully supported by the provided context.",5,The answer directly and completely identifies the document related to the approval matrix for system access.,5,Retrieved: 1/1 expected sources,2,"The model answer mentions the old name of the document but fails to provide the current name 'Access Control SOP', missing important information.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày/tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the conditions for remote work as stated in the context, with all claims supported by the provided information.",5,The answer directly and completely addresses the question by specifying the maximum number of remote days allowed per week and the conditions under which this applies.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the maximum number of remote days, the probation period condition, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer accurately reflects the lack of information in the provided context regarding the timeframe for receiving a laptop after joining the company.,1,The answer does not address the question at all and states a lack of data.,,No expected sources,3,"The model answer acknowledges the lack of information but does not mention the potential relation to authentication or suggest contacting IT Helpdesk, missing important details.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu không chỉ rõ quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tuy nhiên, quy trình hoàn tiền thông thường được mô tả như sau: Khách hàng gửi yêu cầu qua hệ thống ticket nội bộ, CS Agent xem xét trong vòng 1 ngày làm việc, và nếu đủ điều kiện, yêu cầu sẽ được chuyển sang Finance Team để xử lý trong 3-5 ngày làm việc [2].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"The answer provides a mostly accurate description of the standard refund process, but it lacks specific information about the emergency refund process for VIP customers, which is not covered in the provided context.",3,The answer provides information about the general refund process but does not specifically address whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,4,"The model answer provides a detailed description of the standard refund process but misses the explicit mention that there is no special procedure for VIP customers, which is a minor detail.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục (resolution) và phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, including both the initial response time and the resolution time.",5,The answer directly and completely addresses the question by providing the specific SLA times for P1 ticket resolution and initial response.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including both the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points in the expected answer without missing any details.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access as stated in the context, which specifies that approval is needed from the Line Manager, IT Admin, and IT Security.",5,The answer directly and completely addresses the question by specifying who must approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, theo ngoại lệ không được hoàn tiền cho các sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer is completely grounded in the context, accurately stating that digital products are non-refundable as per the provided exception.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, clearly stating that digital products are non-refundable and referencing the specific categories that are exceptions.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the context, accurately reflecting the information provided about account lockout after 5 failed login attempts and the methods to unlock it.",5,The answer directly and completely addresses the question by stating the number of failed login attempts that lead to account lockout and provides additional relevant information on how to unlock the account.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the number of failed login attempts and additional information on unlocking the account.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra khi engineer cần hỗ trợ thêm trong quá trình xử lý. Họ sẽ escalate ngay lập tức nếu cần thiết [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the context provided, stating that escalation occurs when an engineer needs additional support during the handling of a P1 incident, which is directly supported by the context.",4,The answer correctly describes the escalation process in a P1 incident but lacks details on the specific steps or criteria for escalation.,5,Retrieved: 1/1 expected sources,2,"The model answer misses the core detail about the automatic escalation process after 10 minutes of no response, which is crucial for understanding how escalation occurs in P1 incidents.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu Approval Matrix để cấp quyền hệ thống là ""Approval Matrix for System Access"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately references the document's previous name and its purpose, which is fully supported by the provided context.",5,The answer directly and completely identifies the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,"The model answer provides the old name of the document but fails to mention the new name 'Access Control SOP', missing important information.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày/tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the conditions for remote work as stated in the context, including the maximum number of remote days and the requirement for Team Lead approval.",5,The answer directly and completely addresses the question by specifying the maximum number of remote days allowed per week and the conditions for approval.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the maximum number of remote days, the probation period, and the requirement for Team Lead approval.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Tài liệu không cung cấp thông tin cụ thể về lỗi ERR-403-AUTH và cách xử lý. Tuy nhiên, quy trình xử lý sự cố P1 có thể áp dụng cho các lỗi nghiêm trọng. Theo đó, bước đầu tiên là tiếp nhận thông báo, sau đó thông báo tới các kênh liên quan, phân công kỹ sư xử lý, cập nhật tiến độ và viết báo cáo sự cố sau khi khắc phục [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"The answer is mostly grounded in context, as it accurately describes the P1 incident handling process. However, it introduces uncertainty by stating that the process can apply to 'các lỗi nghiêm trọng' without specific context for ERR-403-AUTH.",2,"The answer does not directly address what the ERR-403-AUTH error is, and while it mentions a general troubleshooting process, it is not specifically relevant to the question asked.",,No expected sources,3,"The model answer acknowledges the lack of specific information about ERR-403-AUTH and suggests a general incident handling process, but it misses the key point about the potential authentication issue and the recommendation to contact IT Helpdesk.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu không chỉ rõ quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tuy nhiên, quy trình xử lý yêu cầu hoàn tiền chung được mô tả như sau: Khách hàng gửi yêu cầu qua hệ thống ticket, CS Agent xem xét trong 1 ngày, nếu đủ điều kiện thì chuyển cho Finance Team xử lý trong 3-5 ngày làm việc [3].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",4,"The answer accurately describes the general refund process based on the provided context, but it introduces a minor uncertainty regarding the lack of information about an emergency refund process for VIP customers, which is not addressed in the context.",3,The answer provides some relevant information about the general refund process but does not specifically address whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,4,"The model answer provides a good overview of the refund process but misses the specific mention that there is no special procedure for VIP customers, which is a minor detail in the expected answer.",variant_hybrid_rerank
